spencer tracy
walter brenan
marlon brando
morgan freeman
gene hackman
paul newman
antohny hopkins
laurence olivier
richard burton
michael caine
charles chaplin
robert duvall
humphrey bogart
daniel day lewis
rod steiger
jack hawkins
donald crisp
robert de niro
al pacino
jack lemmon
walter matthau
tom hanks
ben kingsley
donald sutherland
fredric march
joseph coten
ray milland
charles laughton
edmund gwenn
charles coburn
gary cooper
james stewart
gregory peck
montgomery clift
burt lancaster
anthony quinn
charlton heston
cary grant
jason robards
henry fonda
lee j. cobb
edmond o'brien
alec guinness
broderick crawford
ernest borginine
karl malden
george kennedy
melvyn douglas
george c. scott
ronald colman
barry fitzgerald
tom wilkinson
groucho marx
robin williams
jack nicholson
liam neeson
james caan
johnny depp
dustin hoffman
john hurt
max von sydow
sean connery
sidney pottier
james mason
james cagney
rex harrison
kirk douglas
john gielgud
van heflin
peter finch
james dean
dean jagger
anthony perkins
stewart granger
albert finney
raf vallone
dana andrews
martin balsam
christopher plummer
vicent price
sean penn
russell crowe
mel gibson
jeff bridges
tim robbins
david niven
clark gable
john wayne
orson wells
ed begley
burl ives
george sanders
john mills
walter pidgeon
edward g.robinson
yves montand
trevor howard
bing crosby
don ameche
claude rains
richard conte
barry sullivan
herbert marshall
clint eastwood
waltter huston
alain delon
marcello mastroianni
vittorio gassman
f. murray abraham
donald pleasence
omar sharif
john cassavetes
paul lukas
thomas mitchell
john mcintyre
lee marvin
peter o'toole
james coburn
robert loggia
john malkovic
bill murray
peter ustinov
rock hudson
george clooney
brad pitt
dirk bogarde
leonardo di caprio
ed harris
robert stack
roy scheider
glenn ford
jean paul belmondo
gene wilder
danny de vito
fred mcmurray
josé isbert
mickey rooney
charles durning
sterling hayden
joel mccrea
franchot tone
james garner
roberto benigni
nick nolte
harrison ford
joe pesci
brian dennehy
nicolas cage
denzel washington
lewis stone
tommy lee jones
kevin costner
christian bale
richard harris
samuel l.jackson
leslie howard
edward norton
john travolta
richard gere
kevin spacey
jeremy irons
robert redford
jon voight
ralph fiennes
matt damon
dennis hopper
steve mcqueen
gary oldman
harvey keitel
eli wallach
james woods
charles bronson
woody allen
andy garcia
christopher lee
joaquin phoenix
pierce brosnan
lee van cleef
christopher walken
danny glover
heath ledger
robert downey jr.
forest withaker
ray liotta
antonio banderas
patrick swayze
dennis quaid
michael douglas
tom cruise
kevin bacon
matt dillon
steve buscemi
kevin kline
benicio del toro
william hurt
stantey tucci
will smith
richard dreyfuss
terence stamp
clive owen
jim carrey
keith carradine
warren beaty
kurt russel
jamie foxx
willen dafoe
kiefer sutherland
bruce willis
laurence fishburn
matthew mcconaughey
fernando rey
sean bean
robert shaw
john cusack
colin farrell
sam shepard
joe mantegna
daniel craig
peter falk
mark wahllberg
val kilmer
telly saballas
james belushi
tom berenguer
adrien brody
silvester stallone
david carradine
eric bana
christian slater
ethan hawke
billy crystal
bruce dern
malcolm mcdowell
tobey maguire
cantinflas
john savage
viggo mortensen
philip seymour hoffman
jason patric
hugh jackman
jake gyllenhaal
rutger hauer
woody harrelson
gary sinise
toshiro mifune
mandy patinkin
tim roth
bo hoskins
sam elliot
aaron eckhart
ryan o'neal
ewan mcgregor
emilio estevez
keanu reeves
dan aykroyd
gael garcía
arnold schwarzenneger
jackie chan
martin sheen
rob lowe
matthew modine
christopher reeve
jason statham
jack palance
jude law
robert vaughn
peter coyote
javier bardem
jean reno
eric roberts
tymothy hutton
roger moore
ben affleck
robert mitchum
ben gazzara
rowan atkinson
don cheadle
chuck norris
sam neill
matthew broderick
jean claude van damme
alfred molina
adam sandler
john c.reilly
mark ruffalo
lou diamond phillips
ricardo montalbán
ted danson
michael keaton
daniel radcliffe
david strathairn
jonathan rhys meyers
ben stiller
tony curtis
john cazale
richard crenna
john goodman
yul brynner
raul juliá
burt young
luis tosar
orlando bloom
richard pryor
richard widmark
james cromwell
alan rickman
bruce lee
martin landau
josh brolin
burt reynolds
jeremy renner
michael landon
james franco
gerard butler
eddie murphy
mickey rourke
armand assante
robert carlyle
will patton
john turturro
bruno ganz
owen wilson
dwayne johnson
chazz palminteri
rubén blades
bill paxton
john leguizamo
michael j. fox
brad davis
peter fonda
david schwimmer
tom selleck
james mcavoy
ron perlman
harry dean stanton
bryan brown
vin diesel
matthew fox
jeff goldblum
pedro armendáriz
james earl jones
brendan fraser
frank sinatra
cuba gooding jr.
diego luna
kris kristofferson
jack black
gerard depardieu
timothy dalton
ian mckellen
tom sizemore
joseph gordon
charlie sheen
leslie nielsen
joe morton
martin lawrence
hugh grant
david caruso
steve martin
alec baldwin
robert pattinson
patrick stewart
danny trejo
jet li
gabriel byrne
william macy
chris evans
chris cooper
peter strauss
paul walker
colin firth
david morse
michael madsen
jim caviezel
stam laurel
oliver hardy
craig t. nelson
michael york
ryan reynolds
santiago segura
damian lewis
tony goldwyn
kenneth branagh
john lithgow
dennis haysbert
jim brown
robert ryan
terrence howard
louis gossett jr.
delroy lindo
rob schneider
noah wyle
ashton kutcher
carl weathers
bud spencer
edward fox
richard roundtree
edward burns
dennis weaver
jeff fahey
john carradine
gary busey
bela lugosi
seann william scott
francisco rabal
aidan quinn
cliff robertson
bill cobbs
peter sellers
juan diego
alfredo landa
chris o'donnel
steven seagal
david keith
beu bridges
patrick dempsey
wesley snipes
klaus kinski
dean martin
macaulay culkin
shia labeouf
sam worthington
christoph waltz
taylor lautner
jerry lewis
don johnson
richard s.castellano
paul giamatti
elvis presley
marck harmon
james gandolfini
burgess meredith
eduardo noriega
steve carell
lionel barrymore
michael clark duncan
henry silva
marty feldman
hugo weaving
william holden
tyron power
tom welling
harold lloyd
errol flynn
fernando guillen
robert taylor
bob hope
johnny weissmüller
buster keaton
richard chamberlain
boris karloff
gene kelly
elliott gould
robert wagner
bradley cooper
giovanni ribisi
hector alterio
luis guzmán
terence hill
michael ironside
ronald reagan
chow yun-fat
victor mclaglen
zack efron
peter lorre
river phoenix
djimon hounsou
stephen dorff
hayden christensen
woody strode
peter cushing
carmelo gomez
charles boyer
harpo marx
christopher lambert
bill cosby
jorge negrete
john barrymore
arturo de cordova
stephen boyd
zach galifianakis
paul muni
sal mineo
mel ferrer
andres soler
randolph scott
ben johnson
ward bond
george peppard
ving rhames
federico luppi
chico marx
ray walston
paul scofiel
tom jane
randy quaid
josh hartnett
ethan suplee
emilio fernandez el indio
jhony knoxville
robert donat
george hamilton
alan ladd
eric von stroheim
geoffrey lewis
jimmy smits
ken watanabe
franco nero
fred astaire
max schreck
paul sorvino
oliver reed
max linder
fernando soler
edward james olmos
wallace beery
mike myers
warren oates
jack elam
alan tudyk
andy serkis
emil jannigs
jensen ackles
alan alda
fernando colunga
charles bickford
ricardo darín
daniel brühl
armin mueller stahl
warner baxter
red buttons
james spader
cesar romero
david spade
steve zahn
edward furlong
billy bob thornton
victor mature
leo g. carroll
channing tatum
lon chaney jr.
matthew lillard
hugh griffith
alan cumming
josh peck
vittorio de sica
vinnie jones
klaus maría brandauer
kellan lutz
chris rock
harry andrews
john gavin
paul wegener
lino ventura
douglas fairbanks jr.
tony randall
cam gigandet
rodolfo valentino
o. j. simpson
maximilian schell
robert morley
john amos
gregory hines
john houseman
joseph schildkraut
mako
jared leto
andrew garfield
george arliss
phill lewis
william s. hart
chris klein
lon chaney
john gilbert
dub taylor
scott caan
justin chatwin
anthony quayle
slim pickens
tom mix
jack albertson
adam brody
vicent d'onofrio
ice t
chris tucker
harold gould
olaf fjord
wes bentley
josh lucas
dudley moore
toni franciosa
robert preston
emile hirsch
werner krauss
anthony mackie
ben barnes
maurice chevalier
erland josephson
ernie hudson
dax shepard
vladimir sokoloff
ugo tognazzi
kyle maclachlan
george segal
douglas fairbanks
chill wills
george dzundza
gunnar björnstrand
adam baldwin
mark dacascos
farley granger
richard jordan
ossie davis
anthony anderson
olivier martinez
haing s. ngor
robert walker
frank langella
aaron johnson
michael fassbender
george burns
harold russell
alan ford
chiwetel ejiofor
gig young
jon hall
william desmond taylor
wallace reid
al jolson
ian keith
james stephenson
mario van peebles
frank silvera
will geer
jorge martinez de hoyos
philippe noiret
sam wanamaker
marcos zucker
bill duke
l. q. jones
don gordon
george tobías
william moseley
charles s. dutton
bruce campbell
james dunn
pat o'brien
richard jaeckel
guillaume canet
andre braugher
william forsythe
eddie griffin
spike lee
ivan mozzhukhin
jean angelo
philippe heriat
art carney
blair underwood
george chakiris
roscoe lee browne
anton yelchin
jean dujardin
vicent cassel
ryan merriman
fred williamson
taurean blacque
ben vereen
cameron bright
john davis chandler
joel grey
joel edgerton
alexandre aja
arye gross
ryan hurst
paul dano
jerry levine
moritz bleibtreu
benedict cumberbatch
joaquin de almeida
julian sands
jorge russek
jean pierre leaud
